time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,16.4,50,1.8,2025-12-11,0,mild,15.399999999999999
2025-12-11 01:00:00,15.7,51,2.3,2025-12-11,1,mild,14.68
2025-12-11 02:00:00,15.2,51,2.9,2025-12-11,2,mild,14.18
2025-12-11 03:00:00,14.9,50,3.0,2025-12-11,3,mild,13.9
2025-12-11 04:00:00,14.7,50,2.4,2025-12-11,4,mild,13.7
2025-12-11 05:00:00,14.8,53,2.3,2025-12-11,5,mild,13.74
2025-12-11 06:00:00,14.3,54,2.8,2025-12-11,6,mild,13.22
2025-12-11 07:00:00,15.0,54,3.4,2025-12-11,7,mild,13.92
2025-12-11 08:00:00,19.0,47,2.8,2025-12-11,8,mild,18.06
2025-12-11 09:00:00,22.9,35,9.4,2025-12-11,9,warm,22.2
2025-12-11 10:00:00,25.2,29,10.7,2025-12-11,10,warm,24.62
2025-12-11 11:00:00,26.9,24,12.0,2025-12-11,11,warm,26.419999999999998
2025-12-11 12:00:00,27.8,22,12.3,2025-12-11,12,warm,27.36
2025-12-11 13:00:00,28.2,22,11.0,2025-12-11,13,warm,27.759999999999998
2025-12-11 14:00:00,28.4,20,9.7,2025-12-11,14,warm,28.0
2025-12-11 15:00:00,28.1,20,8.7,2025-12-11,15,warm,27.700000000000003
2025-12-11 16:00:00,27.1,21,7.6,2025-12-11,16,warm,26.68
2025-12-11 17:00:00,24.2,27,4.6,2025-12-11,17,warm,23.66
2025-12-11 18:00:00,21.2,35,4.1,2025-12-11,18,warm,20.5
2025-12-11 19:00:00,20.2,37,4.1,2025-12-11,19,warm,19.46
2025-12-11 20:00:00,19.0,40,3.9,2025-12-11,20,mild,18.2
2025-12-11 21:00:00,18.2,43,3.6,2025-12-11,21,mild,17.34
2025-12-11 22:00:00,17.3,46,3.0,2025-12-11,22,mild,16.38
2025-12-11 23:00:00,16.4,50,2.6,2025-12-11,23,mild,15.399999999999999
